x,10
35.949,-0.33021
135.239,-0.67858
201.64,-0.53882
231.64,-0.45009
250.547,-0.3403
267.75,-0.28152
303.625,-0.24818
319.928,-0.12628
337.528,-0.00041
358.291,0.07749
378.379,0.12899
409.639,0.25305
452.514,0.44544
487.93,0.56983
x,98
46.305,0.3243
106.386,0.32711
217.139,0.28421
247.496,0.35552
265.547,0.50339
284.283,0.5034
320.162,0.71993
336.184,0.81147
382.429,1.34924
394.655,1.19001
425.071,1.46058
468.995,1.75779
500.837,1.96294
x,70
35.834,0.65805
133.775,1.21641
200.967,1.11727
304.143,1.52668
311.134,1.4694
317.93,1.67338
354.833,1.77958
380.8,1.97379
411.968,2.09257
455.097,2.34103
490.071,2.47744
x,100
34.873,-0.3316
90.594,-0.33296
130.546,-0.30359
200.121,-0.15057
227.764,0.02107
245.646,0.83063
300.417,0.41818
315.76,0.69984
333.386,0.81295
350.019,0.91166
374.189,0.97931
408.586,1.27651
451.145,1.57499
486.43,1.75663
x,80
36.052,0.1635
91.686,0.32856
133.359,0.64431
201.364,0.82325
233.417,0.84879
252.141,1.06751
270.365,1.12869
306.25,1.23433
340.996,1.53491
373.412,1.13537
381.174,1.59126
411.762,1.56664
454.784,2.17642
490.087,2.04792
