x,98
32.582,0.7402
81.394,1.242
120.589,2.0039
160.882,2.5904
222.588,3.1381
249.581,3.6182
268,3.9338
286.649,4.1866
322.226,4.7296
338.914,4.9569
382.715,5.6063
397.976,5.7502
427.962,6.194
471.819,6.7164
505.96,7.1021
x,70
33.498,1.6752
96.461,3.1834
137.561,4.215
208.707,4.9103
246.522,5.5488
265.576,5.8511
283.876,6.0325
319.453,6.4581
335.802,6.5161
354.681,6.8741
387.033,5.9643
395.087,6.886
425.597,7.452
468.883,7.9417
503.817,8.2331
x,100
32.17,0.3637
81.194,0.9091
120.499,1.7045
160.24,1.9817
208.619,2.4901
241.7,3.1025
259.879,3.4481
277.607,3.8513
314.704,4.2735
330.599,4.5865
347.775,4.7707
365.043,5.0203
388.529,5.17
422.881,5.6499
466.01,6.2008
501.099,6.6135
x,80
33.554,1.6292
98.709,3.0225
145.559,3.6851
208.537,4.0079
246.701,4.8145
265.746,5.1568
283.88,5.3841
319.623,5.794
336.091,5.8085
354.85,6.2463
387.036,5.3027
394.86,6.3018
425.895,6.8845
469.384,7.2972
503.93,7.7156
